Date,IBOV,PTAX,CDI_NAV
2016-07-18,56484.0,3.276599884033203,
2016-07-19,56698.0,3.2493999004364014,100.05246100000001
2016-07-20,56578.0,3.2479000091552734,100.10494952156522
2016-07-21,56641.0,3.252700090408325,100.15746557913371
2016-07-22,57002.0,3.2685999870300293,100.2100091871512
2016-07-25,56873.0,3.251499891281128,100.26258036007087
2016-07-26,56783.0,3.282099962234497,100.31517911235358
2016-07-27,56853.0,3.2699999809265137,100.3678054584677
2016-07-28,56667.0,3.2585999965667725,100.42045941288929
2016-07-29,57308.0,3.281899929046631,100.4731409901019
2016-08-01,56756.0,3.2462000846862793,100.52585020459672
2016-08-02,56162.0,3.2583999633789062,100.57858707087254
2016-08-03,57077.0,3.2527999877929688,100.63135160343579
2016-08-04,57594.0,3.234600067138672,100.68414381680046
2016-08-05,57661.0,3.1868999004364014,100.7369637254882
2016-08-08,57635.0,3.1607000827789307,100.78981134402822
2016-08-09,57689.0,3.168600082397461,100.84268668695742
2016-08-10,56920.0,3.142899990081787,100.89558976882027
2016-08-11,58300.0,3.1247000694274902,100.9485206041689
2016-08-12,58298.0,3.1389999389648438,101.00147920756307
2016-08-15,59146.0,3.190500020980835,101.05446559357014
2016-08-16,58855.0,3.184799909591675,101.1074797767652
2016-08-17,59324.0,3.201200008392334,101.1605217717309
2016-08-18,59166.0,3.2047998905181885,101.21359159305756
2016-08-19,59099.0,3.2379000186920166,101.2666892553432
2016-08-22,57781.0,3.2044999599456787,101.31981477319343
2016-08-23,58020.0,3.198699951171875,101.37296816122159
2016-08-24,57718.0,3.2355000972747803,101.42614943404864
2016-08-25,57722.0,3.223299980163574,101.47935860630324
2016-08-26,57716.0,3.228300094604492,101.5325956926217
2016-08-29,58610.0,3.2641000747680664,101.58586070764801
2016-08-30,58575.0,3.22760009765625,101.63915366603386
2016-08-31,57901.0,3.236799955368042,101.69247458243859
2016-09-01,58236.0,3.2260000705718994,101.74582347152929
2016-09-02,59616.0,3.253200054168701,101.79920034798069
2016-09-05,59566.0,3.2560999393463135,101.85260522647526
2016-09-06,60129.0,3.267199993133545,101.90603812170312
2016-09-07,60129.0,3.1963000297546387,101.90603812170312
2016-09-08,60232.0,3.190700054168701,101.95949904836215
2016-09-09,58000.0,3.214900016784668,102.0129880211579
2016-09-12,58586.0,3.271699905395508,102.06650505480368
2016-09-13,56821.0,3.2469000816345215,102.12005016402048
